rooms	price	area	address	date	x	y	squaremeter price
2.0	601.0	55.93	Manteuffelstraße 57a, Tempelhof (Tempelhof), Berlin	2017	389753.7259819516	5813680.670562902	10.74557482567495
3.0	620.0	81.16	Waldstr. 36, Adlershof (Treptow), Berlin	2017	401756.99248261866	5811064.912716738	7.639231148348941
3.0	969.0	92.0	Friedrich Engels Strasse 3, Niederschönhausen (Pankow), Berlin	2017	391376.032609823	5826774.319419059	10.532608695652174
5.0	1750.0	193.68	Württembergalle 26/27, Charlottenburg (Charlottenburg), Berlin	2017	382174.51906995376	5819280.024775293	9.035522511358943
3.0	730.84	80.08	Malteserstraße 180, Marienfelde (Tempelhof), Berlin	2017	388608.3630837555	5808475.671216047	9.126373626373628
2.0	750.0	49.5	Archenholdstraße 3, Friedrichsfelde (Lichtenberg), Berlin	2017	398525.60272030573	5818699.519550911	15.151515151515152
1.0	730.0	60.0	Turmstraße 70, Tiergarten (Tiergarten), Berlin	2017	386842.0765945169	5820947.2830315465	12.166666666666666
2.0	621.0	62.18	Manteuffelstraße 57a, Tempelhof (Tempelhof), Berlin	2017	389753.7259819516	5813680.670562902	9.987134126728852
3.0	990.0	94.27	Exerzierstraße 14, Wedding (Wedding), Berlin	2017	389806.3279015932	5823914.064497072	10.501750291715286
1.0	800.0	36.0	Emser Str. 50, Neukölln (Neukölln), Berlin	2017	393151.86381857155	5814281.76663972	22.22222222222222
2.5	432.0	72.0	Obstallee 22, Staaken (Spandau), Berlin	2017	375631.20030527073	5820580.657039275	6.0
2.0	678.5	59.0	Fehmarnerstraße 14, Wedding (Wedding), Berlin	2017	388145.1710665108	5822364.35768549	11.5
2.0	915.0	69.93	Archenholdstraße 1, Friedrichsfelde (Lichtenberg), Berlin	2017	398532.2102161472	5818713.692085207	13.084513084513084
3.0	612.45	68.05	Werftendensteig 2a, Reinickendorf (Reinickendorf), Berlin	2017	389247.2345012418	5825193.043617339	9.000000000000002
2.0	589.38	53.58	Heilbronner Str. 21a, Schöneberg (Schöneberg), Berlin	2017	387357.5379652554	5817000.407869647	11.0
3.0	1800.0	108.67	Chausseestraße 37, Mitte (Mitte), Berlin	2017	390109.9826398697	5821568.298586357	16.56390908254348
2.5	1174.92	97.91	Gerichtstraße 60, Wedding (Wedding), Berlin	2017	389543.21017721924	5822813.080741024	12.000000000000002
1.0	466.0	36.07	Proskauerstraße 13, Friedrichshain (Friedrichshain), Berlin	2017	395627.1851231124	5819742.876229724	12.919323537565845
2.0	950.0	51.0	Lichtenrader Straße 37, Neukölln (Neukölln), Berlin	2017	392774.6926861103	5814959.953156475	18.627450980392158
2.0	823.0	82.24	Selchower Str. 6, Neukölln (Neukölln), Berlin	2017	392954.0510084211	5815499.899010672	10.00729571984436
3.0	1044.68	80.36	Schirnerstr. 36, Altglienicke (Treptow), Berlin	2017	401823.2786267447	5807834.038687191	13.0
2.0	527.0	46.79	Kaiserkorso 8, Tempelhof (Tempelhof), Berlin	2017	390263.18041531695	5815871.81782047	11.263090403932464
2.0	652.5	72.41	Kastanienallee 22A, Rosenthal (Pankow), Berlin	2017	391048.4086159994	5828089.1938522225	9.011186300234774
3.0	1001.0	88.08	Gethsemane Straße 6, Prenzlauer Berg (Prenzlauer Berg), Berlin	2017	392698.4252136239	5823168.047388593	11.364668483197093
2.0	790.0	58.0	Grellstraße 36, Prenzlauer Berg (Prenzlauer Berg), Berlin	2017	394035.7224159766	5822401.863121782	13.620689655172415
4.0	1139.57	108.53	Seelenbinderstraße  58, Köpenick (Köpenick), Berlin	2017	403736.3751888424	5812613.800568507	10.500046070211
6.5	2440.0	195.0	Friedrich-Wilhelm-Platz 3, Friedenau (Schöneberg), Berlin	2017	386427.06125300226	5814959.244487566	12.512820512820513
