820|82|3|Schlieperstraße 78, Tegel (Reinickendorf), Berlin|52.5868942|13.2884583|2017-06-24
1089,14|118|3|Hobrechtsfelder Chaussee 166B, Buch (Pankow), Berlin|52.6416958|13.4772222|2017-06-24
820|80|2|Hertzstraße 29, Rosenthal (Pankow), Berlin|52.5849881|13.3631541|2017-06-24
793|88|3|Heinrich-Böll-Straße 4, Niederschönhausen (Pankow), Berlin|52.5874012|13.4022602|2017-06-24
599|66|2|Dietzgenstraße 66, Niederschönhausen (Pankow), Berlin|52.5867606|13.4019458|2017-06-24
834|93|3|Dietzgenstraße 68, Niederschönhausen (Pankow), Berlin|52.58716760000001|13.4017646|2017-06-24
2200|147|4|Schlüterstr. 76, Charlottenburg (Charlottenburg), Berlin|52.50927|13.31835|2017-06-24
754,30|45|1|Müllerstraße 34, Wedding (Wedding), Berlin|52.54847969999999|13.3560257|2017-06-24
1200,50|92.56|3|Pettenkofer Str. 8, Friedrichshain (Friedrichshain), Berlin|52.51692|13.47231|2017-06-24
1617|135.92|4|Hasenheide 8, Kreuzberg (Kreuzberg), Berlin|52.4871704|13.4224527|2017-06-24
1557|158|4|An der Wuhlheide 234 c, Oberschöneweide (Köpenick), Berlin|52.45505|13.55238|2017-06-24
1500|65|2|Neue Grünstrasse 2, Mitte (Mitte), Berlin|52.5082891|13.4044764|2017-06-24
1650|116.56|4|Quendelsteig 21, Nikolassee (Zehlendorf), Berlin|52.4245798|13.2170633|2017-06-24
550|60.41|2|Treskowallee 78, Karlshorst (Lichtenberg), Berlin|52.4852083|13.5263649|2017-06-24
570|22|1|Storkower Straße 158, Prenzlauer Berg (Prenzlauer Berg), Berlin|52.53018849999999|13.4559583|2017-06-24
799|79.87|3|Gensinger Straße 13, Friedrichsfelde (Lichtenberg), Berlin|52.5129734|13.5273904|2017-06-24
849|84.85|3|Gensinger Straße 11, Friedrichsfelde (Lichtenberg), Berlin|52.5129864|13.5270752|2017-06-24
1498|107|3|Saargemünder Straße  25, Dahlem (Zehlendorf), Berlin|52.450927|13.2715817|2017-06-24
1649|168.2|4|Groß-Berliner-Damm 132, Adlershof (Treptow), Berlin|52.436425|13.5287901|2017-06-24
728,23|88.7|2|Allee der Kosmonauten 112, Biesdorf (Marzahn), Berlin|52.52866179999999|13.5491513|2017-06-24
625|54|1|Gross-Berliner-Damm 136-138, Adlershof (Treptow), Berlin|52.436425|13.5287901|2017-06-24
997,66|114.41|3|Trützschlerstr. 1, Johannisthal (Treptow), Berlin|52.4456703|13.5060768|2017-06-24
585|63.95|2|Antonienstrasse 39, Reinickendorf (Reinickendorf), Berlin|52.57398|13.31255|2017-06-24
649,94|53.1|2|Stellingdamm 9, Köpenick (Köpenick), Berlin|52.45918|13.58289|2017-06-24
870|76.04|3|Kleiststraße 37, Schöneberg (Schöneberg), Berlin|52.49966999999999|13.34971|2017-06-24
379|39.48|1,5|Naumburger Ring 46, Hellersdorf (Hellersdorf), Berlin|52.5384|13.61022|2017-06-24
449|55.84|3|Kastanienallee 64, Hellersdorf (Hellersdorf), Berlin|52.5406124|13.601738|2017-06-24
449|52.97|3|Havelländer Ring 31, Hellersdorf (Hellersdorf), Berlin|52.54246000000001|13.59628|2017-06-24
848|83|3|Charlottenstr. 61, Niederschönhausen (Pankow), Berlin|52.5865429|13.4132924|2017-06-24
2988|132.56|4|Bleibtreustraße 25, Charlottenburg (Charlottenburg), Berlin|52.5005476|13.3190518|2017-06-24
1079|141.75|3|Kaiserdamm 32, Charlottenburg (Charlottenburg), Berlin|52.5100954|13.2784928|2017-06-24
1127|80.5|2|Rigaer Str. 18C, Friedrichshain (Friedrichshain), Berlin|52.5173915|13.4586276|2017-06-24
1073,27|97.57|2|Düsseldorfer Straße 31, Wilmersdorf (Wilmersdorf), Berlin|52.49722999999999|13.31111|2017-06-24
408,05|65.08|2|Andreasberger Straße 10, Britz (Neukölln), Berlin|52.4594021|13.4266503|2017-06-24
677|79.63|3|Plauener Str. 85b, Alt-Hohenschönhausen (Hohenschönhausen), Berlin|52.53908999999999|13.5086|2017-06-24
886,82|80.62|3|Imbrosweg 70, Mariendorf (Tempelhof), Berlin|52.4422837|13.4101128|2017-06-24
1200|75|2|Schwartzkopffstraße 1A, Mitte (Mitte), Berlin|52.53461249999999|13.3792727|2017-06-24
3900|208|3|Linienstraße 40, Mitte (Mitte), Berlin|52.5283109|13.4098803|2017-06-24
999|139.18|3|Hakenfelder Straße 10a, Spandau (Spandau), Berlin|52.56592|13.20029|2017-06-24
729|75|2|Niebergallstraße 20, Köpenick (Köpenick), Berlin|52.41605999999999|13.58793|2017-06-24
2200|146|2|Hausvogteiplatz 14, Mitte (Mitte), Berlin|52.51310890000001|13.3969806|2017-06-24
3468|204|6|Reichenberger Straße 88, Kreuzberg (Kreuzberg), Berlin|52.49314|13.43778|2017-06-24
492|60.42|2|Pistoriusstraße 24, Weißensee (Weißensee), Berlin|52.55251000000001|13.45106|2017-06-24
449|70|2|Schluchseestraße 67, Waidmannslust (Reinickendorf), Berlin|52.6077965|13.3367609|2017-06-24
410|37|1|Schwartzstr. 7, Reinickendorf (Reinickendorf), Berlin|52.56742999999999|13.37757|2017-06-24
1249|133|3|Unter den Eichen  58, Lichterfelde (Steglitz), Berlin|52.4464736|13.2947132|2017-06-24
682,39|85.62|3|Schmidt-Knobelsdorf-Str. 8a, Spandau (Spandau), Berlin|52.52441|13.17937|2017-06-24
550|66|2|Marienfelder Allee 172b, Marienfelde (Tempelhof), Berlin|52.41102|13.3596|2017-06-24
655,76|58.55|2|Sonnenallee 149, Neukölln (Neukölln), Berlin|52.4790034|13.4463817|2017-06-24
2150|189|3,5|Fasanenstr. 61, Wilmersdorf (Wilmersdorf), Berlin|52.4979583|13.3273079|2017-06-24
624|65.68|2|Conrad-Blenkle-Straße 65, Prenzlauer Berg (Prenzlauer Berg), Berlin|52.52782999999999|13.44952|2017-06-24
1300|87|3|Kluckstraße 12 A, Tiergarten (Tiergarten), Berlin|52.50458339999999|13.3618261|2017-06-24
1483,21|95.67|3|Chausseestraße 39, Mitte (Mitte), Berlin|52.53358040000001|13.3793246|2017-06-24
481|30.94|1|Kiehlufer 43, Neukölln (Neukölln), Berlin|52.4858104|13.4435382|2017-06-24
913,91|53.28|2|Chausseestraße 41, Mitte (Mitte), Berlin|52.5341438|13.3786|2017-06-24
1942,56|161.88|3|Rungestr. 18, Mitte (Mitte), Berlin|52.5121824|13.4199374|2017-06-24
813,60|72|2|Reinickendorfer Straße 4, Wedding (Wedding), Berlin|52.5408723|13.3704618|2017-06-24
652,70|91.92|1|Wendenschloßstraße 312a, Köpenick (Köpenick), Berlin|52.42796999999999|13.5816|2017-06-24
1310|126|3|Rheinstraße 32, Friedenau (Schöneberg), Berlin|52.4667273|13.3295968|2017-06-24
1216,40|71.56|2|Straßburger Str. 32, Prenzlauer Berg (Prenzlauer Berg), Berlin|52.5323942|13.416691|2017-06-24
3950|196.4|4|Joseph-Haydn-Straße 1, Tiergarten (Tiergarten), Berlin|52.5146924|13.3376905|2017-06-24
1285,76|80.36|3|Hallesche Straße 2, Kreuzberg (Kreuzberg), Berlin|52.5014157|13.3828397|2017-06-24
1364|124|3,5|Westfälische Str. 45, Wilmersdorf (Wilmersdorf), Berlin|52.4968189|13.2927697|2017-06-24
2650|183|3|Saargemünder Straße 31H, Dahlem (Zehlendorf), Berlin|52.4504752|13.2760664|2017-06-24
475,35|69.4|2|Saatwinkler Damm 127, Siemensstadt (Spandau), Berlin|52.5485814|13.2644524|2017-06-24
362,34|55.13|2|Buckower Ring 69, Biesdorf (Marzahn), Berlin|52.5257483|13.5722488|2017-06-24
547,41|54.36|2|Lutherstr. 1A, Niederschönhausen (Pankow), Berlin|52.58445|13.3897|2017-06-24
924,43|117.19|4|Wilhelmstr. 135, Spandau (Spandau), Berlin|52.52263|13.19102|2017-06-24
690|53.1|1,5|Gleditschstraße 58 a, Schöneberg (Schöneberg), Berlin|52.49159|13.35438|2017-06-24
1241,44|69.94|2|Regensburger Straße 13a, Wilmersdorf (Wilmersdorf), Berlin|52.49622|13.33361|2017-06-24
1077|89|3|Berliner Str. 12, Zehlendorf (Zehlendorf), Berlin|52.434903|13.2633769|2017-06-24
1300|40|1,5|Bundesallee 17, Wilmersdorf (Wilmersdorf), Berlin|52.4947262|13.3301588|2017-06-24
2236|172|4|Hohenzollerndamm 112, Schmargendorf (Wilmersdorf), Berlin|52.4782905|13.2833167|2017-06-24
2479,25|164.51|5|Rückertstraße  12, Charlottenburg (Charlottenburg), Berlin|52.5111303|13.3037981|2017-06-24
650|65.81|3|Kirchstraße 86/87, Marienfelde (Tempelhof), Berlin|52.4216602|13.3746534|2017-06-24
1999,78|119|3,5|Regensburger Straße 13b, Wilmersdorf (Wilmersdorf), Berlin|52.49622|13.33361|2017-06-24
1500|161|6|Müggelseedamm 243, Friedrichshagen (Köpenick), Berlin|52.4474884|13.6342326|2017-06-24
2450|162.27|4|Neuenburger Str. 19, Kreuzberg (Kreuzberg), Berlin|52.4996719|13.3995671|2017-06-24
1425|90|3|Schwedter Str. 50, Prenzlauer Berg (Prenzlauer Berg), Berlin|52.5397727|13.4049909|2017-06-24
690|95.84|3|Földerichstraße 0, Spandau (Spandau), Berlin|52.5183603|13.1940599|2017-06-24
2755|190|6|Wielandstraße 43, Charlottenburg (Charlottenburg), Berlin|52.50568|13.31603|2017-06-24
2575|168.52|4|Neuenburger Str. 19, Kreuzberg (Kreuzberg), Berlin|52.4996719|13.3995671|2017-06-24
800|73.57|2|Stephanstr. 7, Tiergarten (Tiergarten), Berlin|52.5346924|13.3525283|2017-06-24
3300|220|6|Witzlebenstraße 30, Charlottenburg (Charlottenburg), Berlin|52.5081484|13.2935341|2017-06-24
950|63|2|Ringbahnstr. 14, Wilmersdorf (Wilmersdorf), Berlin|52.49785490000001|13.2890509|2017-06-24
1290|74.1|2|Fritz-Wildung-Straße 20, Schmargendorf (Wilmersdorf), Berlin|52.4844059|13.2988244|2017-06-24
